"model","converged","n_risk_rows","expected_interaction","interaction_rule_pass","formula","scenario_id","replicate","seed"
"M9_numerator",TRUE,754455,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",767,20960767
"M10_M11_eye_denominator",TRUE,550087,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",767,20960767
"M10_M11_eye_numerator",TRUE,550087,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",767,20960767
"M10_M11_shared_denominator",TRUE,206955,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",767,20960767
"M10_M11_shared_numerator",TRUE,206955,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",767,20960767
"M9_denominator",TRUE,729270,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",768,20960768
"M9_numerator",TRUE,729270,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",768,20960768
"M10_M11_eye_denominator",TRUE,555620,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",768,20960768
"M10_M11_eye_numerator",TRUE,555620,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",768,20960768
"M10_M11_shared_denominator",TRUE,181770,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",768,20960768
"M10_M11_shared_numerator",TRUE,181770,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",768,20960768
"M9_denominator",TRUE,731460,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",769,20960769
"M9_numerator",TRUE,731460,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",769,20960769
"M10_M11_eye_denominator",TRUE,557820,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",769,20960769
"M10_M11_eye_numerator",TRUE,557820,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",769,20960769
"M10_M11_shared_denominator",TRUE,183960,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",769,20960769
"M10_M11_shared_numerator",TRUE,183960,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",769,20960769
